# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (3.333300e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.05          	6.660463e-01	2.464544e-03	-1.998356e+00	-3.331316e-01	-1.665224e+00
0.1           	6.660726e-01	2.108122e-03	-1.998399e+00	-3.331271e-01	-1.665272e+00
0.15          	6.660775e-01	1.996581e-03	-1.998402e+00	-3.331237e-01	-1.665279e+00
0.2           	6.660702e-01	1.953092e-03	-1.998376e+00	-3.331176e-01	-1.665258e+00
0.25          	6.660521e-01	1.933918e-03	-1.998319e+00	-3.331074e-01	-1.665212e+00
0.3           	6.660192e-01	1.923439e-03	-1.998219e+00	-3.330904e-01	-1.665129e+00
0.35          	6.659643e-01	1.917856e-03	-1.998054e+00	-3.330626e-01	-1.664991e+00
0.4           	6.658807e-01	1.917175e-03	-1.997803e+00	-3.330206e-01	-1.664782e+00
0.45          	6.657675e-01	1.921052e-03	-1.997463e+00	-3.329641e-01	-1.664499e+00
0.5           	6.656319e-01	1.927960e-03	-1.997057e+00	-3.328964e-01	-1.664160e+00
0.55          	6.654862e-01	1.936015e-03	-1.996620e+00	-3.328238e-01	-1.663796e+00
0.6           	6.653423e-01	1.943899e-03	-1.996189e+00	-3.327521e-01	-1.663437e+00
0.65          	6.652070e-01	1.951180e-03	-1.995784e+00	-3.326848e-01	-1.663099e+00
0.7           	6.650819e-01	1.958018e-03	-1.995409e+00	-3.326225e-01	-1.662786e+00
0.75          	6.649654e-01	1.964715e-03	-1.995060e+00	-3.325644e-01	-1.662495e+00
0.8           	6.648556e-01	1.971405e-03	-1.994731e+00	-3.325098e-01	-1.662221e+00
0.85          	6.647509e-01	1.978171e-03	-1.994417e+00	-3.324576e-01	-1.661960e+00
0.9           	6.646502e-01	1.985034e-03	-1.994115e+00	-3.324075e-01	-1.661708e+00
0.95          	6.645523e-01	1.992005e-03	-1.993822e+00	-3.323588e-01	-1.661463e+00
1             	6.644566e-01	1.999093e-03	-1.993535e+00	-3.323111e-01	-1.661224e+00
1.05          	6.643622e-01	2.006232e-03	-1.993253e+00	-3.322642e-01	-1.660989e+00
1.1           	6.642686e-01	2.013563e-03	-1.992973e+00	-3.322176e-01	-1.660755e+00
1.15          	6.641753e-01	2.020978e-03	-1.992693e+00	-3.321712e-01	-1.660522e+00
1.2           	6.640823e-01	2.028551e-03	-1.992414e+00	-3.321249e-01	-1.660289e+00
1.25          	6.639890e-01	2.036247e-03	-1.992135e+00	-3.320786e-01	-1.660057e+00
1.3           	6.638957e-01	2.043927e-03	-1.991856e+00	-3.320322e-01	-1.659824e+00
1.35          	6.638025e-01	2.051597e-03	-1.991577e+00	-3.319858e-01	-1.659591e+00
1.4           	6.637090e-01	2.059350e-03	-1.991297e+00	-3.319393e-01	-1.659357e+00
1.45          	6.636151e-01	2.067323e-03	-1.991015e+00	-3.318926e-01	-1.659123e+00
1.5           	6.635210e-01	2.075265e-03	-1.990734e+00	-3.318458e-01	-1.658888e+00
