# Forces      
# CofR        : (3.333300e-01 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.05          	((6.303546e-04 -9.993579e-01 -6.605026e-22) (6.019173e-04 1.799266e-04 -1.184415e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.996789e-03 3.151773e-06 3.331160e-01) (-8.996332e-07 3.009587e-06 -9.279520e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
0.1           	((5.595037e-04 -9.994019e-01 -6.113982e-22) (4.945571e-04 2.021208e-04 -1.186090e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.997009e-03 2.797518e-06 3.331306e-01) (-1.010604e-06 2.472785e-06 -9.432644e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
0.15          	((5.405522e-04 -9.994121e-01 -6.074499e-22) (4.577383e-04 2.109487e-04 -1.187093e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.997060e-03 2.702761e-06 3.331340e-01) (-1.054744e-06 2.288692e-06 -9.530430e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
0.2           	((5.347180e-04 -9.994038e-01 -6.123333e-22) (4.418279e-04 2.159357e-04 -1.187663e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.997019e-03 2.673590e-06 3.331313e-01) (-1.079678e-06 2.209139e-06 -9.615041e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
0.25          	((5.327236e-04 -9.993781e-01 -6.165891e-22) (4.342352e-04 2.185837e-04 -1.187881e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.996891e-03 2.663618e-06 3.331227e-01) (-1.092918e-06 2.171176e-06 -9.665225e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
0.3           	((5.315787e-04 -9.993293e-01 -6.188633e-22) (4.301406e-04 2.196297e-04 -1.188003e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.996646e-03 2.657894e-06 3.331064e-01) (-1.098149e-06 2.150703e-06 -9.679685e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
0.35          	((5.311162e-04 -9.992469e-01 -6.205887e-22) (4.278119e-04 2.200034e-04 -1.188083e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.996234e-03 2.655581e-06 3.330790e-01) (-1.100017e-06 2.139059e-06 -9.680875e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
0.4           	((5.318095e-04 -9.991217e-01 -6.230269e-22) (4.267782e-04 2.203777e-04 -1.188030e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.995608e-03 2.659047e-06 3.330372e-01) (-1.101888e-06 2.133891e-06 -9.688987e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
0.45          	((5.336749e-04 -9.989526e-01 -6.264790e-22) (4.268510e-04 2.210384e-04 -1.187778e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.994763e-03 2.668374e-06 3.329809e-01) (-1.105192e-06 2.134255e-06 -9.712525e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
0.5           	((5.362265e-04 -9.987503e-01 -6.305185e-22) (4.277533e-04 2.220074e-04 -1.187340e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.993752e-03 2.681132e-06 3.329134e-01) (-1.110037e-06 2.138767e-06 -9.750655e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
0.55          	((5.388835e-04 -9.985332e-01 -6.345291e-22) (4.291242e-04 2.231793e-04 -1.186779e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.992666e-03 2.694417e-06 3.328411e-01) (-1.115896e-06 2.145621e-06 -9.797864e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
0.6           	((5.413000e-04 -9.983189e-01 -6.381152e-22) (4.306493e-04 2.244196e-04 -1.186168e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.991594e-03 2.706500e-06 3.327696e-01) (-1.122098e-06 2.153246e-06 -9.847968e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
0.65          	((5.434369e-04 -9.981174e-01 -6.412228e-22) (4.321533e-04 2.256284e-04 -1.185558e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.990587e-03 2.717185e-06 3.327025e-01) (-1.128142e-06 2.160766e-06 -9.896711e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
0.7           	((5.454166e-04 -9.979311e-01 -6.440047e-22) (4.335927e-04 2.267626e-04 -1.184972e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.989656e-03 2.727083e-06 3.326404e-01) (-1.133813e-06 2.167963e-06 -9.942469e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
0.75          	((5.473688e-04 -9.977577e-01 -6.466435e-22) (4.349888e-04 2.278220e-04 -1.184413e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.988789e-03 2.736844e-06 3.325826e-01) (-1.139110e-06 2.174944e-06 -9.985416e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
